position,model,type of error,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
WR,RF,MAE,5.401025862068968, 5.838111940298508, 5.465689516129034, 4.948621212121213, 4.445112068965518, 5.005618181818182, 5.32615789473684, 5.107279661016952, 4.861065573770493, 5.833308333333336,
WR,RF,MSE,44.5905010797414, 53.948894817164216, 42.49335648487906, 36.557864596590925, 27.69526784482758, 48.76827530454542, 41.45369506798244, 47.545511266949205, 49.5133864897541, 63.55963708958335,
WR,LR,MAE,5.457318596348154, 5.679330243030844, 5.17116454623304, 4.998274726404131, 4.64699433097194, 5.020033643049366, 5.092322199660205, 5.069551566021095, 4.854885110834988, 5.831999553951059,
WR,LR,MSE,46.05258431315314, 51.32279467687713, 38.17959582237464, 34.9052564384175, 29.717268307940092, 46.88109878655553, 36.845408163145294, 47.15852466849846, 46.46202626961771, 65.21163115332881,
WR,baseline,MAE,7.241379310344828, 8.338805970149252, 8.32258064516129, 5.8590909090909085, 6.1689655172413795, 6.925454545454544, 7.126315789473685, 6.63220338983051, 6.41967213114754, 5.84,
WR,baseline,MSE,83.71034482758623, 115.00402985074626, 104.31096774193549, 55.465, 67.77620689655171, 83.12527272727272, 83.55894736842106, 76.7262711864407, 90.39737704918034, 70.68833333333332
QB,RF,MAE,6.72343842364532, 9.813516071428566, 7.779522580645162, 8.037599999999996, 7.005063265306116, 8.332163809523802, 6.37347724867724, 5.04791152073733, 7.244009523809528, 7.342687557603686,
QB,RF,MSE,64.38305182119636, 134.7139474996938, 95.87197450606976, 97.54607602982303, 78.43851932303205, 114.18612331863936, 66.35229114170816, 46.19011292060565, 80.29516105414973, 73.3809134681238,
QB,LR,MAE,6.087880384198846, 9.608470285437694, 7.765143893052526, 7.582211522994354, 6.583423385126266, 8.295633908433377, 5.886494613144179, 4.754244515909968, 6.879872643692284, 7.561012253995443,
QB,LR,MSE,54.3366303999155, 126.01249143890068, 92.02480021611306, 87.53372465521738, 71.29313780992773, 108.65506201698555, 58.111011234759545, 42.823750956501925, 73.54219427948877, 77.60635404490665,
QB,baseline,MAE,7.3227586206896556, 11.949375, 10.261935483870968, 7.898000000000001, 8.018571428571429, 10.053333333333335, 9.559259259259258, 7.185806451612903, 8.53, 9.04258064516129,
QB,baseline,MSE,88.31409655172415, 204.6613625, 171.04002580645167, 96.20846666666667, 115.25962857142858, 159.25562666666667, 128.75133333333332, 92.83997419354836, 112.66715999999998, 121.1145806451613,
RB,RF,MAE,5.636448979591836, 5.521327188940092, 6.181046004842615, 4.774733333333334, 5.3210444964871195, 4.874350877192982, 4.784980952380953, 5.827625615763546, 5.236643990929702, 4.964153846153845,
RB,RF,MSE,46.255478270165206, 51.48887158920344, 59.598065533033534, 41.546498881632644, 45.804967227835405, 34.537347908342284, 34.52722476734696, 50.786717106263204, 39.0002787482993, 43.16183732119308,
RB,LR,MAE,5.3036770344002155, 5.0545359241900405, 5.886188555618626, 4.577816394368309, 5.1679937634685, 4.7438467969241955, 4.852081655855222, 5.694446144607861, 5.014576370865819, 4.929484224734537,
RB,LR,MSE,43.78875939387488, 46.055711599091765, 55.69817663557197, 38.08968774577928, 45.023267599593524, 31.5990094817023, 36.29342157885604, 49.65276254142676, 34.11679987383564, 41.02784572613581,
RB,baseline,MAE,5.980952380952382, 5.829032258064516, 6.552542372881358, 6.734999999999999, 5.413114754098362, 5.9515789473684215, 6.316666666666666, 6.620689655172414, 6.260317460317461, 6.212307692307692,
RB,baseline,MSE,59.059047619047625, 68.14032258064518, 69.83728813559323, 88.5521666666667, 58.83704918032788, 67.05076491228071, 67.206, 75.04034482758621, 63.45682539682541, 60.77476923076924,